,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,BN1,BN2,BN3,BN4,BN5,BN6,BN7,BN8,BN9,BN10,BN11,BN12,BN13,BN14
C1,"[[3, -1, 1.0], [7, 1, -1.0]]","[[14, -1, 1.0]]",[],"[[13, 1, 1.0]]",[],[],[],[],[],[],[],[],[],"[[12, -1, 1.0], [13, 1, 1.0]]",[],"[[11, -1, -1.0], [12, -1, 1.0], [13, 1, -1.0], [14, -1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[]
C2,[],"[[6, -1, 1.0]]","[[7, 1, -1.0], [13, 1, -1.0]]",[],[],"[[6, 1, 1.0], [7, -1, -1.0]]","[[5, 1, 1.0], [7, 1, 1.0]]",[],[],"[[6, 1, -1.0]]",[],[],[],[],[],[],[],[],"[[5, -1, -1.0], [8, 1, -1.0]]",[],[],[],[],[],[],[],[]
C3,[],"[[8, -1, 1.0]]",[],[],[],[],[],"[[8, -1, 1.0], [14, -1, 1.0]]","[[8, 1, 1.0], [14, -1, -1.0]]","[[14, 1, 1.0]]",[],[],[],[],"[[6, 1, 1.0], [7, 1, -1.0], [12, -1, 1.0], [13, 1, 1.0]]",[],[],[],[],[],[],[],"[[5, 1, -1.0], [6, 1, 1.0], [8, -1, -1.0], [9, 1, -1.0]]",[],[],[],[]
C4,[],"[[13, 1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[12, 1, -1.0], [13, 1, 1.0]]",[],[],"[[9, -1, 1.0], [10, -1, -1.0], [13, 1, 1.0], [14, -1, 1.0]]",[],[],[],[],[],[]
C5,[],[],"[[9, 1, 1.0]]",[],[],[],"[[6, -1, 1.0]]","[[11, -1, 1.0]]","[[11, -1, 1.0]]",[],"[[8, 1, 1.0], [9, 1, 1.0], [11, 1, 1.0], [12, -1, -1.0]]",[],[],[],"[[9, 1, 1.0], [10, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[]
C6,[],[],[],"[[4, -1, 1.0]]","[[7, 1, -1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[2, 1, -1.0], [4, 1, 1.0]]",[],[],[],[],[]
C7,[],[],[],"[[10, -1, 1.0]]","[[3, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
C8,[],[],[],[],[],[],[],[],[],"[[7, 1, -1.0], [8, 1, 1.0]]",[],[],[],[],[],[],[],"[[6, -1, 1.0], [8, 1, 1.0]]","[[6, -1, 1.0], [14, -1, -1.0]]","[[9, -1, -1.0], [14, -1, 1.0]]",[],"[[6, 1, 1.0], [9, 1, 1.0], [13, -1, 1.0], [14, -1, 1.0]]",[],[],[],[],[]
C9,[],[],[],[],[],"[[9, 1, 1.0]]",[],[],[],[],"[[6, -1, -1.0], [7, 1, 1.0], [10, -1, -1.0], [13, 1, 1.0]]","[[10, -1, 1.0]]",[],[],[],[],[],[],[],[],[],[],[],[],[],"[[11, -1, 1.0], [12, 1, 1.0]]",[]
C10,[],[],[],[],[],[],[],"[[9, 1, 1.0], [13, 1, 1.0]]",[],[],[],"[[12, 1, -1.0]]",[],[],[],[],[],[],[],"[[8, -1, 1.0], [13, 1, 1.0]]",[],[],[],[],[],[],[]
